"Indicatif","HeureStart","HeureStop","TempsAttentePiste","TempsArretTotal"
6695,54398,55379,16,0
6694,54371,55570,0,0
6697,54777,55710,0,0
6696,54706,55829,82,0
6699,55150,56120,0,0
6698,55023,56239,113,0
6701,55529,56500,0,0
6700,55360,56619,100,0
6703,55895,56912,60,0
6702,55702,57031,166,0
6705,56266,57208,0,0
6704,56052,57327,73,0
6706,56380,57641,60,0
6707,56644,57760,161,0
6708,56725,57936,0,0
6709,57018,58055,67,0
6710,57051,58224,0,0
6712,57394,58343,15,0
6711,57388,58526,0,0
6714,57774,58735,0,0
6713,57718,58925,0,0
6716,58287,59250,0,0
6715,58148,59429,81,0
6718,58802,59772,0,0
6717,58577,59951,168,0
6719,58992,60252,60,0
6720,59316,60371,89,0
6721,59406,60577,0,0
6722,59823,60831,60,0
6723,59835,60980,0,0
6725,60334,61365,60,0
6724,60246,61544,85,0
6727,60847,61787,0,0
6726,60679,61906,39,0
6728,61108,62318,0,0
6729,61362,62497,173,0
6730,61544,62725,0,0
6731,61822,62844,74,0
6732,61930,63111,0,0
6733,62280,63242,0,0
6734,62314,63404,0,0
6736,62735,63704,0,0
6735,62712,63948,60,0
6738,63192,64199,60,0
6737,63098,64318,111,0
6739,63493,64620,60,0
6740,63655,64799,173,0
6741,63894,65127,60,0
6742,64115,65306,231,0
6744,64578,65438,0,0
6743,64270,65557,84,0
6745,64649,65840,0,0
6746,65038,65980,0,0
6747,65052,66251,0,0
6748,65545,66504,0,0
6749,65565,66751,0,0
6750,66063,67034,0,0
6751,66098,67249,0,0
6752,66565,67559,60,0
6753,66620,67821,60,0
6754,67067,68033,0,0
6755,67139,68329,0,0
6756,67580,68487,0,0
6757,67660,68824,0,0
6758,68099,69048,0,0
6759,68181,69340,0,0
6760,68611,69575,0,0
6762,68897,69776,0,0
6761,68712,69921,0,0
6764,69187,70148,0,0
6763,69065,70267,41,0
6766,69479,70440,0,0
6765,69423,70662,60,0
6768,69773,70781,67,0
6769,70065,71033,60,0
6767,69759,71152,178,0
6771,70356,71277,0,0
6770,70119,71396,70,0
6773,70649,71679,60,0
6772,70465,71798,145,0
6775,70941,71917,53,0
6774,70812,72036,47,0
6777,71229,72155,19,0
6776,71172,72274,27,0
6779,71526,72454,0,0
6778,71522,72695,0,0
6780,71822,72814,45,0
6782,72111,73069,0,0
6781,71868,73188,110,0
6783,72204,73437,60,0
6784,72411,73556,175,0
6786,72717,73682,0,0
6785,72535,73801,102,0
6788,73030,74053,60,0
6787,72881,74172,88,0
6790,73343,74357,60,0
6789,73218,74476,54,0
6792,73647,74598,0,0
6791,73561,74771,0,0
6794,73953,74921,0,0
6793,73905,75112,0,0
6796,74264,75231,15,0
6795,74242,75393,0,0
6797,74570,75534,0,0
6798,74578,75822,60,0
6799,74890,75941,112,0
6800,74918,76067,0,0
6801,75214,76186,18,0
6802,75256,76450,60,0
6803,75534,76629,153,0
6804,75593,76748,93,0
6805,75847,76927,113,0
6806,75928,77188,60,0
6808,76687,77677,60,0
6807,76656,77871,0,0
6810,77530,78472,0,0
6809,77375,78591,49,0
6812,78372,79299,0,0
6811,78100,79418,115,0
6813,78808,79951,0,0
6814,79219,80183,0,0
6815,79538,80696,0,0
6816,80676,81634,0,0
6817,80875,82055,0,0
6818,82117,83037,0,0
6819,82213,83377,0,0
6821,83568,84590,60,0
6820,83559,84815,60,0
6823,85739,302,0,0
6822,85642,426,0,0
6825,1513,2453,0,0
6824,1337,2572,52,0
6827,5200,6169,0,0
6826,4979,6288,118,0
6829,12204,13132,0,0
6828,12053,13251,34,0
6831,13797,14812,60,0
6830,13656,14931,87,0
6833,15385,16348,0,0
6832,15269,16527,105,0
6835,17319,18284,0,0
6834,17229,18403,27,0
6837,19270,20236,0,0
6836,19191,20406,0,0
6839,19884,20849,0,0
6838,19854,21067,0,0
6841,20506,21463,0,0
6840,20502,21757,60,0
6842,21125,22143,60,0
6843,21158,22315,0,0
6844,21738,22668,0,0
6845,21800,23025,60,0
6846,22243,23184,0,0
6847,22275,23486,0,0
6848,22737,23698,0,0
6849,22751,23952,0,0
6851,23242,24198,0,0
6850,23236,24485,60,0
6853,23743,24692,0,0
