Indicatif,HeureStart,HeureStop,TempsAttentePiste,TempsArretTotal
3346,72502,73523,66,0
3345,72397,73642,46,0
3348,72771,73821,84,0
3347,72751,73940,59,0
3349,73042,74119,121,0
3351,73316,74281,0,0
3350,73119,74460,149,0
3353,73593,74579,43,0
3352,73477,74698,27,0
3355,73866,74818,0,0
3354,73840,75027,0,0
3356,74142,75206,115,0
3358,74404,75325,16,0
3357,74203,75444,59,0
3360,74683,75649,0,0
3359,74577,75768,22,0
3362,74967,75991,60,0
3363,75239,76170,10,0
3361,74940,76289,238,0
3365,75510,76466,0,0
3364,75305,76585,68,0
3367,75780,76741,0,0
3366,75657,76872,0,0
3369,76547,77487,0,0
3368,76475,77606,14,0
3371,77318,78343,60,0
3370,77287,78462,55,0
3372,78083,79095,60,0
3373,78117,79282,0,0
3374,78854,79819,0,0
3375,78953,80085,0,0
3376,79628,80566,0,0
3377,79769,80984,0,0
3378,80990,82018,60,0
3379,81131,82220,60,0
3380,82345,83376,60,0
3381,82485,83756,60,0
3382,83707,84667,0,0
3383,83819,85033,0,0
3384,85900,454,0,0
3385,86008,862,60,0
3386,1691,2638,0,0
3387,1782,2912,0,0
3389,5285,6301,60,0
3388,5272,6480,0,0
3391,12384,13350,0,0
3390,12366,13579,0,0
3393,14038,15046,60,0
3392,13938,15165,80,0
3395,15687,16656,0,0
3394,15517,16775,79,0
3397,17575,18596,60,0
3396,17427,18715,106,0
3399,19465,20486,60,0
3398,19310,20605,97,0
3401,20109,21098,22,0
3400,19905,21217,179,0
3403,20762,21733,46,0
3402,20493,21912,239,0
3405,21407,22351,2,0
3404,21088,22470,179,0
3406,21698,22904,0,0
3407,22044,23083,72,0
3408,22190,23315,0,0
3409,22533,23469,0,0
3410,22717,23875,0,0
3411,23028,23994,8,0
3412,23229,24473,60,0
3413,23529,24592,106,0
3414,23762,24940,0,0
3415,24025,25119,144,0
3416,24282,25470,0,0
3417,24514,25589,109,0
3419,25003,25974,0,0
3418,24812,26153,127,0
3421,25502,26500,60,0
3420,25318,26619,90,0
3423,26015,27046,60,0
3422,25913,27165,41,0
3425,26516,27441,0,0
3424,26495,27767,60,0
3426,27035,27991,0,0
3427,27092,28300,0,0
3428,27544,28492,0,0
3429,27678,28856,0,0
3430,28047,29016,0,0
3431,28259,29427,60,0
3432,28545,29546,79,0
3434,29046,30013,0,0
3433,28845,30132,102,0
3435,29110,30340,60,0
3436,29377,30519,16,0
3437,29416,30638,279,0
3439,29789,30817,96,0
3438,29640,30936,92,0
3440,29909,31064,0,0
3441,30158,31183,64,0
3442,30172,31306,0,0
3444,30533,31500,0,0
3443,30423,31679,62,0
3446,30898,31864,0,0
3445,30691,32043,179,0
3447,30951,32162,29,0
3449,31265,32281,99,0
3448,31223,32413,0,0
3451,31642,32609,0,0
3450,31494,32728,59,0
3452,31751,32847,0,0
3454,32014,32966,20,0
3453,32003,33257,60,0
3456,32386,33376,43,0
3455,32262,33495,72,0
3457,32538,33711,0,0
3459,32753,33890,168,0
3458,32745,34009,82,0
3461,33089,34128,96,0
3460,32952,34307,158,0
3462,33148,34486,133,0
3463,33338,34605,60,0
3465,33540,34784,47,0
3464,33417,34963,610,0
3469,34077,35082,45,0
3468,33937,35201,96,0
3467,33747,35320,618,0
3466,33737,35439,501,0
3471,34330,35618,82,0
3473,34524,35797,62,0
3470,34123,35916,603,0
3472,34410,36095,740,0
3475,34749,36274,604,0
3480,35423,36393,13,0
3474,34746,36512,574,0
3477,35090,36631,668,0
3476,34935,36750,610,0
3478,35147,36929,573,0
3479,35344,37108,570,0
3483,35758,37287,616,0
3481,35533,37406,667,0
3482,35723,37585,650,0
3485,36083,37704,650,0
3484,35932,37823,705,0
3486,36151,37942,625,0
3488,36482,38121,709,0
3487,36382,38240,653,0
3489,36606,38359,556,0
3491,36877,38478,640,0
3490,36844,38657,606,0
3493,37271,38776,541,0
3492,37062,38895,653,0
3494,37277,39014,656,0
3496,37663,39133,502,0
3495,37474,39252,572,0
3500,38146,39371,54,0
3497,37702,39550,638,0
3499,38057,39669,654,0
3498,37921,39788,703,0
3505,38850,39907,100,0
3502,38449,40086,667,0
3501,38352,40205,651,0
3503,38574,40384,612,0
3504,38789,40563,576,0
3509,39457,40682,23,0
3506,39014,40801,584,0
3508,39249,40920,700,0
3507,39240,41039,627,0
3510,39641,41158,597,0
3513,39937,41277,125,0
3512,39903,41396,541,0
